"","Var1","Freq"
"1","영화",370
"2","관람객",201
"3","아이들",140
"4","현실",102
"5","마지막",76
"6","생각",76
"7","행복",66
"8","연기",63
"9","어른",59
"10","하게",52
"11","마음",51
"12","무니가",49
"13","아이",49
"14","장면",48
"15","무니",36
"16","색감",36
"17","눈물",35
"18","디즈니랜드",34
"19","사랑",34
"20","내용",32
"21","세상",32
"22","엔딩",32
"23","이야기",32
"24","진짜",32
"25","들이",31
"26","디즈니",30
"27","여운",30
"28","관람",29
"29","엄마",29
"30","포스터",28
"31","배우",26
"32","무지개",25
"33","모습",24
"34","우리",24
"35","최고",24
"36","가슴",22
"37","친구",21
"38","배경",20
"39","인생",20
"40","무니를",19
"41","불편",19
"42","감독",18
"43","동화",18
"44","시선",18
"45","이해",18
"46","천진난만",18
"47","환상",18
"48","희망",18
"49","영상미",17
"50","감동",16
"51","나무",16
"52","사람",16
"53","씁쓸",16
"54","결말",15
"55","때문",15
"56","모텔",15
"57","정도",15
"58","평점",15
"59","무니야",14
"60","무니와",14
"61","웃음",14
"62","기분",13
"63","기억",13
"64","사회",13
"65","순수",13
"66","예고편",13
"67","정말",13
"68","홍보",13
"69","모녀",12
"70","몰입",12
"71","미국",12
"72","아역",12
"73","어린아이",12
"74","크레딧",12
"75","누구",11
"76","다큐",11
"77","대비",11
"78","비극",11
"79","상황",11
"80","시간",11
"81","처음",11
"82","하기",11
"83","거리",10
"84","그것",10
"85","랜드",10
"86","부모",10
"87","순수함",10
"88","영상",10
"89","재미",10
"90","주인공",10
"91","지루",10
"92","플로리다",10
"93","해서",10
"94","화려",10
"95","관람객무니가",9
"96","바비",9
"97","사람들",9
"98","세계",9
"99","소리",9
"100","올해",9
"101","월드",9
"102","의미",9
"103","작품",9
"104","최악",9
"105","표정",9
"106","표현",9
"107","훌륭",9
"108","공감",8
"109","그녀",8
"110","답답",8
"111","동정",8
"112","부분",8
"113","비참",8
"114","연출",8
"115","유쾌",8
"116","추천",8
"117","풍경",8
"118","하나",8
"119","^ㅋ",7
"120","감정",7
"121","공간",7
"122","그곳",7
"123","극장",7
"124","누군가",7
"125","다큐멘터리",7
"126","보라색",7
"127","스토리",7
"128","영화관",7
"129","이상",7
"130","인간",7
"131","전개",7
"132","젠시",7
"133","좋겠",7
"134","천진",7
"135","파스텔",7
"136","10",6
"137","가난",6
"138","가지",6
"139","근데",6
"140","기대",6
"141","동심",6
"142","동안",6
"143","만큼",6
"144","묵직",6
"145","반전",6
"146","불쌍",6
"147","서로",6
"148","심각",6
"149","어디",6
"150","언제",6
