"Var1","Freq"
" 인간 존재의 의미와 관계, 그 깊이와 품격에 대해 고민하는 고레에다 감독 특유의 시그니처가 살아있는 영화.  ",1
"&#34;누군가를 심판하는 것은 누가 결정하는가?&#34;&#34;인간이 과연 다른 이를 심판할 수 있는가?&#34;치밀한 플롯과 배우들의 열연과 호연, 짜임새 있는 스토리, 끊임없이 의문을 갖게 하는 영화네요.세 번 관람했는데, 그 때마다 새로운 해석과 의문이 생기네  ",1
"(평점개편) 고레에다가 만들면 다르다.  ",1
"BEST관람객야쿠쇼 코지의 괴물같은 연기! 거짓으로만 지킬 수 있는 진심.  ",1
"BEST그렇게 변호사가 된다. 범죄드라마에서도 통하는 고레에다스타일~  ",1
"BEST영화를 본 후 굉장히 긴 여운을 준다 장면을 곱씹고 대사를 생각하고..정리하고 나니 다시 또 보고 싶어진 영화  ",1
"BEST죽어마땅한사람. 그건 각자만의 잣대인가, 정말 타당하게 그런것인가  ",1
"BEST크레딧이 다올라가고 청소하고있는데도 심야로 들어온 5명이 각자의 자리에서 깊은 생각에 빠져있었습니다. 마지막 장면은 그야말로 압권...!  ",1
"The Third Murder  ",1
"가장 정의로워야할 법정에 진실은 없다는 말이 와닿네요 ~  여러가지를 곱씹게 하는 영화  ",1
"간만에 제대로 된 일본영화를 봤다  ",1
"감독 특유의 다큐감성(?)이  이번 영화에도 들어나길 바라며.... 캐스팅은 뭐 일본영화 안에서는 어벤저스급...  ",1
"감춰진 진실의 여백을 골똘히 휘저어 놓는다.  ",1
"감히 역대 최고의 명작이라 할수있겠다 두시간 내내 나를 조여오는 졸음을 이기는 나를 발견하고 스스로 자아를 실현했다  ",1
"같은 이야기도 고레에다가 하면 깊어지는.  ",1
"개노잼 시간 아깝고 지루함 별1도 아까움  ",1
"거짓말을 잘하는 살인자.  ",1
"결국 사람은 믿고 싶은 것을 믿는다.  ",1
"결론은뭐야? 왜죽인거야? 앙?  ",1
"결론을 명확하게 보여주지는 않는다. 세번째살인이라는 제목에서 유추한다면 진실에는 무관심하면서도 인간들 스스로를 보호하기위한 의심, 편견, 심판을 합리화하는 심리를 살인자는 스스로를통해 조롱하는듯했고 합리성이라는 사거리에서 혼동하는 인간의 모습을 보았다  ",1
"결말해석을 봐야 좀 이해가 되는듯 뭔가 잘 만든듯 하면서도 먼가 조금은 아쉬운 내용  ",1
"고감독님 스타일이 역시나 묻어난!! 고레에다식 스릴러!!  ",1
"고감독님 영화의 또다른 색깔을 본듯  ",1
"고레에다 감독 영화는 믿고보는 영화인거 같애요. 간만에 영화다운 영화 봤네요~~  ",1
"고레에다 감독 영화는 역시..17년 꼭 봐야할 영화인듯  ",1
"고레에다 감독 이분은 정말...  ",1
"고레에다 감독님의 영화는 늘 마음의 울림을 주었는데,  이번 영화&lt;세번째 살인&gt;도 역시 기대를 져버리지 않네요.  ",1
"고레에다 감독의 스릴러 영화잔잔하게 이야기 진행. 엔딩이 좋았다  ",1
"고레에다 감독의 필모그래피 중 가장 서늘한 시선으로 극을 이끈다. 영화가 진행될수록 모호해지고 흔들리는 믿음과 진실의 간극. 마지막 씬에서 감독이 관객에게 이런 질문을 묻는 것처럼 느껴졌다. &#39;당신이 믿었던 인간의 진실이란 과연 선한 것인가?&#39;  ",1
"고레에다 히로카즈 감독의 거침없는 변화가 낳은 ‘차가움’, 그 ‘차가움’은 영화를 보는 내내 얼얼하게 만든다  ",1
"고레에다 히로카즈가 던지는 인간에 대한 질문들... 과연 진실은 우리에게 무엇을 말해주는가. 아니, 우리에게 진실이 필요한가.  ",1
"고레에다감독 영화는 그냥보면 된다.  ",1
"고레에다식 드라마가 서스펜스를 만나니 흥미롭네요  ",1
"고레에다의 차분하면서도 조여오는 스타일이 참 맘에 들었다. 곱씹게 되는 영화. 다시 보고 싶다. 계속 떠오른다. 여운이 참 대단한 영화.  ",1
"고레에라 히로카즈의 진화  ",1
"과장되지 않은 잔잔한 연기로 관객의 심리를 꿰뚫은 이런 일본 법조 영화가 좋더라  ",1
"관람객&#39;세 번째 살인&#39;, 그 제목을 곱씹다.  ",1
"관람객&#39;텅 빈 그릇&#39;에 우리가 담는 것은 무엇인가! 의심을 통해 휴머니티를 성찰하는 좋은 영화였습니다!  ",1
"관람객가깝게는 사형제, 멀게는 진실에 대한 영화. 자, 이제 진실은 무엇인가. 아니, 당신은 진실이 정말 궁금하긴 했나.  ",1
"관람객가장 보호받아야 할 가족에게 고통받는 소녀와가족에게 씻지 못할 고통을 준 살인범의 만남을통해 인간 구원의 메세지를 잔잔하게 그려낸 영화.  ",1
