"","code","movie_title","point","Genres","Times","Releases","Directors","Actors","Grades"
"1","68555","말할 수 없는 비밀","9.27"," 멜로/로맨스,  판타지,  드라마","101","20080110","주걸륜","주걸륜(상륜), 계륜미(샤오위), 황추생(샹륜 아버지)"," 12세 관람가"
"2","155356","미쓰백","9.27"," 드라마","98","20181011","이지원","한지민(백상아), 김시아(김지은), 이희준(장섭)"," 15세 관람가"
"3","172174","어느 가족","9.23"," 드라마","121","20180726","고레에다 히로카즈","릴리 프랭키(오사무 시바타), 안도 사쿠라(노부요 시바타), 마츠오카 마유(아키 시바타)"," 15세 관람가"
"4","175727","극장판 헬로카봇 : 백악기 시대","9.23"," 애니메이션","84","20180801","최신규, 김진철","이지현(차탄 목소리), 김용준(아빠 / 스톰 목소리), 양정화(장군 / 엄마 / M라인 목소리)"," 전체 관람가"
"5","168050","스타 이즈 본","9.16"," 드라마,  멜로/로맨스","135","20181009","브래들리 쿠퍼","브래들리 쿠퍼(잭슨), 레이디 가가(앨리)"," 15세 관람가"
"6","174301","카메라를 멈추면 안 돼!","9.16"," 공포,  코미디","95","20180823","우에다 신이치로","하마츠 타카유키(히구라시 타카유키), 아키야마 유즈키(마츠모토 아이카), 나가야 카즈아키(카미야 카즈유키)"," 15세 관람가"
"7","177335","타샤 튜더","9.13"," 다큐멘터리","104","20180913","마츠타니 미츠에","타샤 튜더(본인)"," 전체 관람가"
"8","146489","패딩턴 2","9.10"," 코미디,  드라마,  애니메이션","104","20180208","폴 킹","벤 위쇼(패딩턴 목소리), 휴 그랜트(피닉스 뷰캐넌), 샐리 호킨스(매리 브라운)"," 전체 관람가 PG"
"9","167481","액슬","9.08"," 액션,  모험","100","20181018","올리버 달리","알렉스 뉴이스테터(마일스), 베키 지(사라), 토마스 제인(척 힐)"," 12세 관람가 PG"
"10","88669","그 시절, 우리가 좋아했던 소녀","9.02"," 멜로/로맨스,  드라마","107","20120822","구파도","가진동(커징텅), 천옌시(션자이)"," 15세 관람가"
"11","164115","맘마미아!2","8.99"," 뮤지컬","114","20180808","올 파커","아만다 사이프리드(소피), 릴리 제임스(젊은 도나), 메릴 스트립(도나)"," 12세 관람가"
"12","168023","곰돌이 푸 다시 만나 행복해","8.97"," 모험","104","20181003","마크 포스터","이완 맥그리거(크리스토퍼 로빈), 헤일리 앳웰(에블린 로빈), 마크 게티스(자일스 윈슬로우)"," 전체 관람가 PG"
"13","172425","서치","8.89"," 드라마","101","20180829","아니쉬 차간티","존 조(데이빗 킴), 데브라 메싱(로즈메리 빅 형사)"," 12세 관람가"
"14","159311","소공녀","8.87"," 멜로/로맨스,  드라마","106","20180322","전고운","이솜(미소), 안재홍(한솔)"," 15세 관람가"
"15","143416","미드나잇 선","8.80"," 멜로/로맨스","92","20180621","스콧 스피어","벨라 손(케이티), 패트릭 슈왈제네거(찰리)"," 12세 관람가 PG-13"
"16","11089","현기증","8.78"," 드라마,  미스터리,  스릴러,  멜로/로맨스","127","19590208","알프레드 히치콕","제임스 스튜어트, 킴 노박"," 15세 관람가"
"17","150198","너의 이름은.","8.75"," 애니메이션,  드라마,  멜로/로맨스","106","20170104","신카이 마코토","카미키 류노스케(타치바나 타키 목소리), 카미시라이시 모네(미야미즈 미츠하 목소리)"," 12세 관람가"
"18","174805","신비아파트: 금빛 도깨비와 비밀의 동굴","8.74"," 애니메이션,  판타지,  모험","68","20180725","김병갑","조현정(신비 목소리), 김영은(하리 목소리), 김채하(두리 목소리)"," 전체 관람가"
"19","137956","맨체스터 바이 더 씨","8.73"," 드라마","137","20170215","케네스 로너건","케이시 애플렉(리), 미셸 윌리엄스(랜디), 카일 챈들러(조 챈들러)"," 15세 관람가 R"
"20","18933","록키 호러 픽쳐 쇼","8.57"," 판타지,  코미디,  공포,  뮤지컬","100","19980620","짐 셔먼","팀 커리, 수잔 서랜든, 베리 보스트윅"," 청소년 관람불가 R"
"21","140652","너의 결혼식","8.51"," 멜로/로맨스","110","20180822","이석근","박보영(환승희), 김영광(황우연)"," 12세 관람가"
"22","170859","오늘 밤, 로맨스 극장에서","8.39"," 판타지,  멜로/로맨스","109","20180711","타케우치 히데키","아야세 하루카(미유키), 사카구치 켄타로(켄지)"," 전체 관람가"
"23","97612","그랜드 부다페스트 호텔","8.36"," 미스터리,  모험","100","20140320","웨스 앤더슨","랄프 파인즈(M. 구스타브), 틸다 스윈튼(마담 D.), 토니 레볼로리(제로)"," 15세 관람가"
"24","167105","암수살인","8.33"," 범죄,  드라마","110","20181003","김태균","김윤석(김형민), 주지훈(강태오)"," 15세 관람가"
"25","168749","죄 많은 소녀","8.30"," 드라마,  미스터리","113","20180913","김의석","전여빈(영희), 서영화(경민모), 고원희(한솔)"," 15세 관람가"
"26","163533","안시성","8.15"," 액션","135","20180919","김광식","조인성(양만춘), 남주혁(사물), 박성웅(이세민)"," 12세 관람가"
"27","33147","피아니스트","8.11"," 드라마","130","20021220","미카엘 하네케","이자벨 위페르(에리카), 브느와 마지멜(월터)"," 청소년 관람불가"
"28","146520","춘몽","8.02"," 가족","101","20161013","장률","한예리(예리), 양익준(익준), 박정범(정범)"," 15세 관람가"
"29","119428","베놈","8.01"," 액션,  SF,  스릴러","107","20181003","루벤 플레셔","톰 하디(에디 브록 / 베놈), 미셸 윌리엄스(앤 웨잉)"," 15세 관람가 PG-13"
"30","163842","올 더 머니","7.98"," 범죄,  드라마,  미스터리,  스릴러","132","20180201","리들리 스콧","미셸 윌리엄스(게일 해리스), 크리스토퍼 플러머(J. 폴 게티), 마크 월버그(플래처 체이스)"," 15세 관람가 R"
"31","71151","아이 엠 러브","7.89"," 드라마,  멜로/로맨스","119","20110120","루카 구아다니노","틸다 스윈튼(엠마), 플라비오 파렌티(에도), 에도아도 가브리엘리니(안토니오)"," 청소년 관람불가 R"
"32","160721","박화영","7.81"," 드라마","99","20180719","이환","김가희(박화영), 강민아(은미정), 이재균(영재)"," 청소년 관람불가"
"33","164106","협상","7.68"," 범죄","114","20180919","이종석","손예진(하채윤), 현빈(민태구)"," 15세 관람가"
"34","174807","배반의 장미","7.34"," 코미디","99","20181018","박진영","김인권(안병남), 정상훈(육심선), 손담비(이미지)"," 15세 관람가"
"35","168058","퍼스트맨","7.25"," SF,  드라마","141","20181018","데이미언 셔젤","라이언 고슬링(닐 암스트롱), 클레어 포이(자넷 암스트롱)"," 12세 관람가"
"36","162981","명당","7.17"," NA ","126","20180919","박희곤","조승우(박재상), 지성(흥선대원군), 김성균(김병기)"," 12세 관람가"
"37","152694","킬링 디어","7.08"," 멜로/로맨스,  판타지,  드라마","101","20080110","주걸륜","주걸륜(상륜), 계륜미(샤오위), 황추생(샹륜 아버지)"," 12세 관람가"
"38","152156","원더풀 고스트","7.05"," 드라마","98","20181011","이지원","한지민(백상아), 김시아(김지은), 이희준(장섭)"," 15세 관람가"
"39","168049","더 넌","6.86"," 드라마","121","20180726","고레에다 히로카즈","릴리 프랭키(오사무 시바타), 안도 사쿠라(노부요 시바타), 마츠오카 마유(아키 시바타)"," 15세 관람가"
"40","113361","경주","6.77"," 애니메이션","84","20180801","최신규, 김진철","이지현(차탄 목소리), 김용준(아빠 / 스톰 목소리), 양정화(장군 / 엄마 / M라인 목소리)"," 전체 관람가"
