"","reviews"
"1","BEST관람객아이들은 모른척 한다. 어른들을 위해서.  "
"2","BEST관람객정말 가벼운  마음으로 들어갔다가 뒷통수 제대로 맞은 영화플로리다의 석양을 배경 삼아 도망치듯 걸어가는 모녀,그리고 마지막 무니의 오열은 오래 남을 것 같다  "
"3","BEST내가 이 나무를 좋아하는 이유가 뭔지 알아? 쓰러졌는데도 계속 자라고 있기 때문이야.  "
"4","BEST진짜 저렇게 영화 홍보하면 안된다.  "
"5","BEST디즈니가 외면? 혹은 왜곡하고 있는 현실 이야기. 삶은 처절하기 때문에 숭고하고 아름답다.  "
"6","아이들은 힘든 친구의 손이 안타까워 잡고 함께 뛴다. 어른들은 힘든 친구의 손이 불편해 놓아 버린다.  "
"7","무니야 항상 행복해야해  "
"8","예쁘고 귀엽지만 안타까운...예상되는 전개에도 놀라움을 주는 아역배우의 눈부신 활약...그토록 씩씩하고 웃기만 하던 아이가 우는 장면은 가슴을 미어지게 하고 다시는 보기 싫은 눈물...디즈니랜드 앞에 살지만 눈물 없이는 갈 수 없었던 그 곳...  "
"9","관람객너는 나의 제일 친한 친구인데, 이제 다시는 못볼지도 몰라. 말이 안나와.  "
"10","이 영화 마케팅 관련자들을 고발합니다.  "
"11","힐링영화 아닙니다 ㅠㅠ 쓰러진 채 자라나는 나무같은 무니.. 무니가 또 쉬싸러왔대? 했을 때 심장이 쿵했습니다..  "
"12","현실에서 상종하고 싶지 않은 부류의 사람들도 누군가의 부모이고 딸이고 고통을 느낄줄 안다는것...  "
"13","마지막 식사 장면. 그냥 마냥 즐거운 무니와 영화 종일 내내 당당하고 유쾌한 핼리가 슬퍼보이는 장면이 가장 크게 남네요.  "
"14","또 다른 의미의 잔혹동화.  "
"15","예고편에 속지 마세요! 실제 영화가 훨씬 좋아요!  "
"16","어두운 영화. 미국 사회의 단면을 아이들을 통해 그려내고 있다.  "
"17","관람객쓰러진채 자랄 아이들이 슬프다 무니가 항상 행복했으면 좋겠다  "
"18","배우들이 연기를 너무 잘해 기억에 오래 남을 영화. 마지막 장면을 제외하면 영화를 보는 내내 괴로운 다큐멘터리 처럼 느껴졌다.감독은 공간과 소리로 현실감을 어떻게 연출하는지를 너무 잘 아는것 같다.  "
"19","이 영화 포스터는 사기입니다  "
"20","마지막장면이 아직 까지도 여운이 남는다.미국판 나 다니엘 블레이크  "
"21","영화가 진짜 너무 씁쓸하다 쓴맛이 엄청 오래감  "
"22","오래간만에 보는 진정한 의미로 영화다. 다큐멘터리로 느낄 정도의 리얼리티가 공간에 설정되었고 더 개입하지도 더 방관하지도 않는 윌리엄데포가 거리를 두고 비참한 현실을 응시한다. 헬리콥터소리가 영화내내 요란하게 우리에게 경고한다. 다들 위험한 삶이다  "
"23","사랑스럽고 유쾌한 아이들 시선으로 본 안개에 가려진 무지개 빛 세상.  "
"24","매직 캐슬, 퓨처 랜드로 위장한 공간을 시끄러운 헬기 소리로, 연보라의 음울한 페인트로 덧칠할 수는 있지만, 무지개처럼 다채로운 아이들의 속내는 감출 수 없다.  "
"25","영화가 너무 아프다.. 네이버 줄거리랑 딱 반대의 내용이다. 부디 행복하게 꿋꿋이 자라주렴..  "
"26","이거보고 나오니 온 세상이 칙칙해보임.. 어떤분이 하신 말처럼 연기자가 연기하는것을 찍는게 아니라 사회속 한사람의 현실을 따라다니며 찍은 느낌. 미국사회의 빈부격차를 잘 꼬집은것같다. 영상의 색감은 아름다웠지만 그 속은 차갑고 현실적이다.  "
"27","무니는 어른들이 울기직전의 표정을 알아차린다 정작 자신은 언제 울어야하고 언제 슬퍼해야하는지 알지못한다  "
"28","이 영화가 전하려는 내용이 뭔지 이해가 가지 않았다. 그저 무니 모녀가 처한 상황이 지독히 현실적인 모습이라는 것 말고는.. 하지만 집으로 가는 길 내내 이 영화가 말하려던 게 어떤건지 선명해져갔다. 포스터와는 너무나 다른 영화.  "
"29","&#34;이 세상 모든 무니와 핼리에게 이 상을 바치며 우리 모두 그들을 도와야 한다.&#34; - 브루클린 프린스 (무니 역) 크리틱스 초이스 아역상 수상소감 중  "
"30","장면마다 색감이 너무 아름다움! 처음으로 영화 포스터를 방에 붙임.ㅎㅎ 내가 얼마나 나약하고 자기연민에 쩔어서 사는지  알게된 영화ㅎㅎ  유쾌한 이야기는 아니지만 왠지 떠올리면 에너지를 주는 영화:^)  "
"31","영화는 넘좋은데 내옆집에 무니랑 무니엄마가 산다고 생각하면 넘 무섭다  "
"32","꿈과 희망의 디즈니랜드 주변의 싸구려 모텔에 지내는 미워할수 없는 악동 무니와 무능력하고 뻔뻔하지만 무니를 사랑하는 엄마의 씁슬한 현실 이야기..참묘하다....  "
"33","한국같으면 눈물콧물 짜는 신파로 만들었겠지만 이영환 다르다 건조한 나도 눈물 맺히게 만든다 자연스럽게 마치 한국이 싸구려빵이라면 이영화는 고급빵집 빵  "
"34","그 불길이 자신을 덮칠거라곤 생각하지 못했겠지.  "
"35","무니가 행복했으면 좋겠어  "
"36","먹먹하다. 얼마 전 가 본 플로리다의 이중적인 모습을 매우 불편하게, 하지만 그대로 담은 영화.  "
"37","관람객부모, 육아, 친구, 사회복지 이 모든 것에 대해 생각하게 한 영화입니다. 무니의 연기!  "
"38","생각보다 어두운 이야기에 놀랐음 마지막 장면은 무슨 의미일까..  "
"39","온갖 CG로 돈 처발처발한 영화들 보다가 오랜만에 힐링영화 만난듯하다. 보면서 뭔가 위태롭기도하고 뭉클하면서 애잔한... 오랜만에 느껴보는 감정들... 글로 설명하긴 힘들다. 한번쯤 봐야할 영화.  "
"40","바비아저씨같은 분이 많아졌으면 해요.  "
