"","reviews"
"1","BEST일본은 야동뿐만아니라 감성대국이다  "
"2","BEST보면서 정말 대박이란 말밖에 여운이 아직도 가시질 않네요 에니메니션 본것중 정말 최고입니다 내인생에 TOP1 임  "
"3","BEST일본은 그닥 싫지만..애니만은 존경스럽다...ㅠㅠ  "
"4","BEST이건2가 나와야 하는데...다음내용이 궁굼하다구!!!!!!!!!!!!!!!!!!!! ㅜㅜ 아 여운오래갈듯...눈물이 앞을 가림 ㅜㅜㅜ  "
"5","BEST보고 울었다 반전에 반전을거친감동  "
"6","시간가는 줄 모르고 재밌게 본 애니메이션!!  "
"7","깔끔하고 정감있는 애니. 쇠퇴해가는 종족의 은근한 쓸쓸함까지 느껴진다. 미국 애니와는 다른, 선악의 대결도 아니고 인간의 감정을 간과하지도 않는 일본 애니의 장점이 잘 드러난 애니.  "
"8","아이가 딴짓 안하고 첨부터 끝까지 봄.  그거면 끝  "
"9","가볍게 보려고 청소하면서 틀었는데,이어폰끼고 보다가..마지막엔 울음..끝에 군조 뭠춤표시,완전 돼봑 감동 놀람..스토리에 음악,성우들 목소리까지..넘 잘어우러져서리..감정 백배 끌어오림 ㅜㅜ  "
"10","저는 저녁에 엄마랑 8살짜리 동생이랑봤는데 마지막에 군조가 한 멈춤표시와 그 편지 중 연기였다는 말을할때 장면을 돌려줄때 동생도안우는데 12살짜리인 저도 울었어요~~ 진짜 재미있었고 감동적이었어요~ㅎㅎ  "
"11","보기완 다르게 정말 재밌다  "
"12","아 정말 애니메이션 참 잘 만드네요.. 저 외모에 순수한 마음을 가진 몬스터라니ㅎㅎ 이십대후반인 나를 이렇게 엉엉 울려도 되는거야ㅠㅠ 너무 슬프고 감동적이에요 엔딩장면이 깔끔하고 노래는 여운이 남아요  "
"13","그건그거고 이건이거고 감동있네여~  "
"14","일본애니와 우리나라애니와 차이는 엄청나다. 여자몸뚱아리나 무기로 삼고 게임이나 애니를 제작하는 우리나라는 정말  애니나 게임쪽에서는OO 같고 거지 같다.  "
"15","관람객아이와 함께 봤는데 재밌었어요. 깔깔웃고 눈물 찍 하기도하고..  "
"16","다시봐도 명작이다. 2가 나왔으면 하는 바람도 없잖아있네요..감동했습니다..;;  "
"17","너무 감동적입니다 이런것때문에 이런 영화를 안볼수가없네요ㅜㅜ본것에 후회가 되지않고 돈을 오히려 너무 적게 받고 본듯 재미잇어요 감동10점 재미10점 중간중간 아이의 웃음이 저자신도 모르게 미소짓게 하네요 이건 이시대의 명작중의 명작입니다  "
"18","관람객6살 딸과함께 봤네요.. 어린딸도 초집중해서 봤던 영화였어요 재미와 감동~!! 두가지다 만족입니다~^^  "
"19","관람객어른들이봐도너무좋았지만특히나아이들이너무좋아하네요~빵빵터지는웃음에다일본애니특유의감성까지최곱니다!!  "
"20","관람객6살아들이 보면서 감동에 우는거보고 당황ㅋㅋㅋㅋ한번도 영화보고 운적이없는데 ...집에와서도 계속 얘기하는거보면 너무재밌게본듯해요 ㅎㅎ  "
"21","관람객아이들 보여주려고  갔는데  제가 더 재미있게  보았네요  "
"22","관람객딸램이와 봤는데 잼있네요  "
"23","관람객동생들 데리고 가서 제가 찔찔 울었네요 감동적인 영화였습니다  "
"24","관람객감동적이에요~~^^ 어른인 제가 봐도 울컥 하더라구요 아이들도 슬펐다고 눈물이 날뻔 했다고 하네요 재미와 감동을 동시에^^  "
"25","애들 애니인줄 알았는데 오히려 제가 더 울고 나왔네요ㅠㅠ  "
"26","완전 재밌게 봤어요 ㅋㅋㅋ  "
"27","내용이나 영상미 모두 좋았음 ㅠㅠ 요즘 볼 애니 없었는데 조카랑 보기 딱 좋음!  "
"28","캐릭터도 귀여운데 감동까지 있긔...!!!!  "
"29","2가진짜 나와야 하는데  "
"30","최고의 에니메이션이다. 보다가 울었다  "
"31","코타케가 몬스터를 꺼려 하지 않고 친구 처럼 대하는 것나키와 군조가 인간의 존재를 알고도 코타케를 챙겨주는게너무 착해 보이고, 참 감동적인 영화이다.  "
"32","귀여워서 캐릭터보는재미도있고 내용도 감동적~그나저나 문제는 항상 인간ㅜㅜ  "
"33","제가 본 애니메이션 중 단연 최고가 아닐까 싶습니다. 엄마생각, 친구생각 마지막 군조가 표시해놓고 간 &#39;멈춰&#39; 라는 부분에서 너무 많은 눈물을 흘렸습니다.계속계속 돌려봐도 눈물이 멈추질 않아서 30분은 운 것 같네요. 최고의 애니메이션 입니다.  "
"34","진짜 감동 흑흑 ㅠㅠ군조가 첨부터 맘에 들긴 했지만 ㅋ  "
